u.name,u.funny,u.fans
Jessica,1,1
Just,15,0
Jenny,2,2
Alexa,2,1
Dianne,2,0
Jennie,2,0
Daniel,5,1
Anna,270,8
Andrew,102,13
M.,10,1
Jenn,16,1
Julia,121,13
Marie-Pierre,18,5
Jenna,5,1
Altaira,51,6
Kat,2,0
Valerie,66,7
Louise,20,6
Lea,6,0
Chantel,3,0
Laura,28,4
Pam,40,11
Ahalya,36,10
Tomas,2620,503
Nadine,6,0
Skye,1,0
Ashley,16,4
Yvette,39,3
Asmaa,10,1
Nash,0,0
Jess,0,0
Zaynab,18,0
Sheena,86,7
Danielle,591,56
Ivan,60,11
Aisha,11,1
Malak,2,0
Amy,71,3
Dante,0,0
Anna,33,8
Veronica,3,1
Lucky,0,0
Shu,1,0
Mary,44,7
Alma,3,2
Sveta,55,17
Mary,615,17
David,1256,75
Traci,11,2
Bryan,87,11
Michelinne,56,8
Tanya,8,4
Jade,0,0
Bernard,32,2
Georgia,32,1
Joanna,10416,249
Margret,730,62
Elly,6,1
Kevin,1127,89
J,6533,293
Robyn,77,3
Nicole,808,42
Christie,3906,140
Paul,148,7
Sandra,3,0
Kirsten,30,5
Kathy,20,0
Bill,1,0
Emily,5167,219
AnnaMarie,3,0
V,425,29
Carissa,284,13
Stephanie,836,63
Amyra,335,15
Paul,805,50
Michelle,0,1
Michelle,12,4
darin,2,1
Rae,11,0
Chantel,57,38
Leigh,1,0
Steve,0,0
Jennifer,135,23
Paul,11,2
Party,11,1
Al,6,0
Selene,30,7
Ashley,1,2
Hannah,295,27
Anthony,18,3
Jessica,8,1
Jessica,5,4
Jane,0,0
Mariana,1,0
S,1,0
Chante,1,0
Emily,161,18
Tiffany,0,1
Jess,0,1
LaJoi,2,0
Tayla,7,2
Tida,191,105
J,6,1
Anna,5,0
Jenny,0,0
Sonia,5,0
Mike,0,0
Jonathan,536,18
James,0,0
Tracy,162,9
Melissa,0,0
Marisol,13,1
Denise,12,0
Glenn,31,1
Mark,54,3
Monkee,53,5
Eric,371,56
Jason,127,5
Christopher,101,14
Jake,2,1
meagan,142,25
Corey Tess,731,72
J.D.,0,1
larry,99,3
Eric,250,15
Kira,62,4
Andrew,8,1
Don,7,1
Keagan,18,0
Wes,1,0
Tom,1,2
Natalia,4,0
Janelle,21,8
Xty,8,0
Pani,15,2
Stephanie,34,4
Laura,3,0
Ashley,882,16
Jackie,96,16
Stephanie,45,2
Tara,50,7
SS,56,1
Muffy,4,0
James,1,0
Dan,6,0
Michelle,4,2
Sean,5,0
Gregg,58,11
Allison,22,1
Teresa,2,2
Michelle,0,0
Diego,0,0
Alexander,1291,78
Kerri,4,0
Jen,80,7
Kristine,0,0
Adam,7,1
Sharz,245,37
Janel,291,41
Diora,6,0
Debbie,794,71
Kimberly,1,0
Mel,8341,178
Drew,7484,772
Rachel,47,4
Brooke,241,29
Chris,15,4
Nathan,102,31
Cynthia,44,12
DeShawn,121,11
Chad,1359,55
Ana,4,0
Zara-Maria,1683,58
Christie,18006,309
Erica,51,5
Magee,3,1
Rolly,374,45
Eileen,454,55
Andrea,585,52
Marco,0,0
Linda,1084,97
Paul,13,1
Terri,3901,152
Rowena,20,7
Taylor,10,2
Demetria,90,12
Jamal,2,0
Mas,174,3
Chan,169,12
Norm,7845,283
Tricia,639,67
Michael,16,4
David,4,1
Clayton,0,0
Elisabeth,3,0
Art,533,32
Cece,57,10
chewy,6,2
Elle,816,73
Cherylann,78,2
Colleen,0,0
J,7,0
Christine,31,1
Laurie,157,10
Lynne,3,1
Sylvia,40,2
ALESSANDRA,1,0
Emily,0,0
B Chene,5,0
Drey,0,1
Roger,2,0
Brittany,2,0
Megan,2,0
M,6,0
J,16,0
David,7,0
Angela,0,0
Michelle,17,3
Arin,65,9
Matt,1,1
T. N.,6,1
Lina,1,3
Brooke,9,3
Nathan,1,0
Andrea,21,2
A,1,0
Phoebe,24,5
Erik,4,2
Sheryl,0,0
Meredith,0,1
kelly,3,1
Danny,1,0
Xiaoyu,5,5
Jack,0,0
Gianna,2,1
Marmot,2,3
Keith,3,1
Kirk,1,0
RJ,0,0
Joe,3,0
Alex,6,0
Susan,4,0
June Bug,35,11
Patrick,13,0
Beth,3,0
Jen,35,4
Kashlee,3,0
Kari,169,16
Dana,247,36
Danielle,12,7
Jai,98,9
T.,2,0
Rainie,180,34
Wesley,141,9
Yuvaraj,504,22
priya,68,5
Jeanne,5,0
Lollipop,17,4
Matthew,2,1
Julia,0,0
Krys,26,1
Ash,2,0
Cindy,28,3
Kevin,6,0
Ellen,4,0
Douglas,5,0
Jinny,122,12
Blake,109,3
Christine,5,3
Michael,0,0
Taric,3602,133
Greg,6,1
Christina,2,1
Regina,3,1
Amom,1,0
Janet,3,0
D B J,14,0
Hollis,3,0
Mick,209,12
Justin,0,0
Jody,1,0
Zeke,15,1
Lauren,181,27
KC,9,0
Sanford,151,6
Chris,2,2
Devorah,8,1
Paige,0,0
Ashley,17,4
Chris,146,5
Carmen,9,1
Cody,11,2
Chris,24,1
Matt,78,1
Anna,1,0
S,11,1
Dana,651,54
L.T.,45,1
Amy,9,3
Kathy,2,1
Stacy,5,2
Larry,78,9
Phil,17,1
Mandy,28,0
Michelle,3,0
Mrs,5,0
Dani,0,0
April,54,3
Sidney,1,0
Peggy,105,14
Shawna,1,0
Julia,2,1
Deb,1537,60
Jesse,57,5
Kristy,3,1
Samara,18,2
Meagan,1,0
Roxy,1154,133
Dan,122,4
Michelle,3,1
Rebecca,315,14
Chris,23,0
Leah,46,12
Jenifer,84,28
Susan,3,0
Erin,399,31
Dawn,16,2
DestinationFamilyVacation,52,5
Michelle,8,3
Tracie,20,0
Joy,0,0
Laura,233,36
Heather,3088,73
Christine,12,0
Austin,18,1
Chrysty,71,9
Dee,1140,77
Sarah,39,3
Darcy,2,0
Amanda,0,0
Paula,19,1
Luciana,137,28
Stacey,11,6
Alanda,28,1
Jeremy,13,0
Simplelife,10,0
Paige,5,0
Kat,216,25
Valentina,6,4
Joe,0,0
Ali,678,88
Meg,57,2
Dave,3,2
Tommy,36,4
Janae,13,7
Brandi,35,1
J.,14,0
Mike,29,3
Lindsey,4261,551
Rose,56,13
Chris,0,0
Lali,44,8
Patti,9,0
Stephanie,18,5
V,29,0
Michael,2,0
Nicole,515,34
Amber,1,0
Kaity,20,0
Lauren,3,0
Trisha,56,4
Brooke,0,0
Diane,17,7
Jeff,14,1
Darla,3,0
Micaela,3,1
Teresa,20,3
Katie,3,2
E,1,0
Rebecca,2,1
M.,22,1
Ji,14,6
Natalie,1461,75
Jennifer,7,0
Cindy,2114,51
Autzen,69,3
Olivia,5,2
Bria,16,4
Richard,346,30
Libbi,35,9
Christine,10,0
George,0,0
Ika,13,0
Joe,2,0
Gordon,11,2
Tanya,1,1
Vanessa,378,28
Tori,89,13
Clinton,0,0
Amber,1,3
Jeanie,115,13
C,6,0
Scott,45,2
JP,9,0
Jeff,11,0
Ciara,4,5
Angela,48,1
Kris,336,57
Dwayne,343,44
J,45,2
K,0,0
Ramya,41,2
Kiki,35,2
Jenn,124,36
Kathy,101,26
Jasmine,174,27
Lori,7,1
Alyse,252,43
Marisa,1938,113
Vivacious,38,3
Denise,2,0
Leonilo,48,5
Douglas,14,0
German,8,0
Bill,31,6
Melissa,68,7
Kristine,13,3
Alex,38,6
Drew,27,6
H,3,1
Cheyenne,0,0
Joe,40,1
Shawn And Katrina,719,20
Jennifer,2,0
M,16,0
Tina,627,49
Jolly,3,0
P,42,2
Shaya,33,2
Larry,81,7
Pete,27,2
Terry,159,10
Synia,8,0
Dee,210,43
Hannah,1,1
Lizeth,1099,35
Allison,11,0
Scout,176,18
Stephanie,1,1
Jessica,2,0
Kemlyn,1159,42
Bridget,187,21
Fox,86122,1574
John,6,0
Johnny,4,1
Jan-Ellen,2,1
Ray,1,1
Planets,8,0
Kenneth,3447,265
Dale,1188,132
Paul,259,23
Kari,7,0
Messer,5010,190
Kiri,9,2
Brian,50,2
Ashley,2,1
Nick,4,1
Cody,17,2
Claude,11,1
Chad,2489,150
Beatrice,3,1
Heather,3,1
Emily,40,2
Eric,73,10
Amanda,47,10
Michele,155,12
Sarah,0,1
Dan,11,2
Dayna,19,6
Mrs.,35,12
Chris,5,2
Jahtavia,1,0
Christie,2,0
Ed,2,0
Tom,2,0
D,2,0
Christine,0,0
Mike,12,1
Joe,165,11
Ryan,24,7
Sam,365,18
Grace,958,45
Angie,395,98
Alan,1,0
Jeff,18,0
Kathy,0,0
Roland,11,0
Lena,1126,116
Vanja,4,1
Cash,102,9
John,3,1
Rachel,5,0
Per,16,0
Jonathan,0,0
Katherine,749,55
Christy,53,12
Hayley,0,0
Dawn,3,1
Carrie,1,0
Shayda,111,16
Nicole,238,40
Robert,1,1
Nathan,2,0
Taylor,1,0
Bridget,118,19
Kyann,14,2
Erin,52,4
Brass,2,0
J.,4,0
Rachel,3153,539
Rachel,12,1
Allison,2,1
N,6,1
Elizabeth,87,10
Swathi,2,2
Shelby,0,2
Natalia,5,1
Grace,6,1
Natalie,7,2
kim,11,3
Ken,10368,522
Ashley,106,6
Tinah,8,2
Brandi,5,0
Ed,3,0
Jessica,1,0
Byron,0,1
Camellia,18,4
Ashley,14,1
Shannon,16,1
Jesse,3,0
Stephen,11,1
James,2,1
Jacob,5,0
Shanny,2,1
Michaela,12,2
Larry,1,0
Katie,100,2
Mia,0,0
Julia,136,17
Colin,65,12
Maria,47,3
Karla,782,40
Joseph,309,16
Jaren,70,4
Jon,11,2
Linda,17,2
Andrew,5,0
Maya,3,4
Mathius,2,0
Peter,45625,2086
Bridget,104,24
Joshua,7,0
Nina,150,11
Aaron,10,3
Leslie,76,7
James,0,1
Adam,2,0
Allie,11,2
Katie,105,22
Bill,10,0
Linda,4,0
George,0,0
Paula,2,0
Andrea,36,2
Marie,0,0
Lisa,66,12
April,1,1
Hannah,0,0
Lauren,49,13
Ran,120,14
Grasim T Abbot,222,3
Adam,102,12
Jen,154,22
Amanda,24,5
Jordan,4,0
Tiffany,55,5
David,27,14
Alyssa,0,1
Michael,1070,76
S,1,0
Richard,6,0
molly,3,1
Connie,1,0
Eva,148,27
Gabrielle,6,6
Kate,15,5
Jocelyn,2,1
Akshay,2,0
Amy,36,3
David,110,5
Dana,8,2
Nick,70,8
Alyssa,60,5
Emily,2,0
David,94,16
Ayca,15,1
Benjamin,4,2
Audrey,0,0
Faythe,0,0
Nicole,46,7
Ike,11,0
Irina,0,0
Kerri,135,28
Rosta,12,3
Evan Tyler,0,2
Eden,157,17
Caitlin,47,7
Amy,60,16
Lindsey,1,0
Carolyn,1,0
Kerry,207,20
Marie,6,0
Holly,24,1
Christian,2,0
Chris,38,8
Gina,213,36
Charles,36,4
Rebecca,10,1
Anjalie,1,0
Jenny,8,6
Rory,1,0
Teresa,84,23
Sarah,31,18
Fuzzo,3,0
Divya,12,4
Hilary,0,0
Jerry,2,1
Jack,48,15
Vanessa,0,0
Jenee,3,1
Daniel,24,8
Bill,0,0
Taylor,162,9
Sean,10,3
Ginger,0,0
Jim,197,20
Ruth,41,4
Michelle,2,0
Shawna,31,5
Aisling,0,0
Brittani,17,1
Sirena,20,4
Ceren,2,0
Lynn,0,0
Nicole,55,7
Renee,12,2
Mike,3,0
Scott,16,1
Brittany,13,0
Hillary,7,2
Alyssa,62,21
K,3,0
Brian,271,30
Jonah,3,0
Taylor,12,5
Danielle,1,0
Kristen,19,1
Nicolette,2,0
Kristen,16,1
Lindsey,6,4
Andre,3,1
Quynh,2,0
Eddie,134,15
Nicole,9,5
Adelina,240,54
Kelly,17,27
Patrick,652,25
Hana,2023,37
Mara,3702,116
Ram,175,15
Chun,26,0
Karin,66,12
Michael,15,0
Rebecca,7,2
Dianalynn,42,3
Brian,38,15
Steven,88,13
Rene And Jennifer,1,0
Tabitha,10,0
Jessica,55,3
Wallis,7,0
Hillary,0,0
Cristy,5,0
Joe,215,7
Melissa,1,0
Sara,43,3
Bernie,886,57
Skye,10,0
Juria,20,4
Adrian,19,1
Carrie,1,0
Sunny,34,3
Foodie,0,0
Reina,6,1
Adam,5,1
Kimmy,15,1
Roland,1,1
Jane,4,0
Jenny,6,1
Roma,1125,44
Phuong,69,6
Momo,36,4
Joeie,26,3
Debbie,87,18
Randy,140,1
Valerie,5,0
Anindya,8,1
Selina,2,4
Isabelle,37,6
Michelle,6,3
J,8,1
Sandro,17,2
Jessyca,21,3
Judy,66,17
Joe,41,5
Monika,55,5
Peter,1250,66
Nav,0,0
Helena,140,13
Michael,2,0
Dora,0,0
Judy,47,7
Maia,26,11
Karl,74,19
Jake,0,0
Ajay,0,0
Doris,19,1
Ran,23,2
Dan,17,1
Gina,1,0
K,0,0
Hitesh,7,1
Stefani,8,4
Ann,6,3
Renee Tammy,8,2
Tan,3,0
Joeana,122,26
Birdy,60,6
Elaiza,22,5
Jasmine,2,2
Jeema,3,1
Shahin,132,16
Gray,18,1
Daphne,92,34
Frank,3,2
Jc,1,0
Ian,4,0
Jeff,38,2
Anna,61,8
Justin,22,4
Neha,3,0
Brandon,12,5
Dolly,73,5
Katherine,16,4
Clara,3,1
Marleen,4,0
Ravin,12,0
Jun,6,0
Alyssa,8,4
David,799,47
Danica,111,10
Robert,41,1
Nan,1,0
Jon,32,12
Janine,27,3
Paula,28,3
Jennifer,173,25
Jace N Macaia,1,1
Stellz,28,1
Kathryn,33,7
Ken,335,25
Shari,53,14
D,3,0
Laura,16,6
Laura,3274,131
Ian,12,1
HN,157,9
Ally,39,4
Nick,130,52
Tyler,25,1
Tina,154,49
Eric,9,0
Kristina,66,8
Alexa,0,0
Maggie,1,0
Cary,74,3
Richard,103,4
Chelsea,29,1
Daniel,7,2
David,703,139
Dar,4,1
Travis,15,5
Joseph,14,0
Calder,2,1
Jarrod,40,2
Kayla,13,6
Brandywyne,0,0
Joe,0,0
Denny,146,11
My,27,9
Ali,0,0
Chardae,51,20
Jim,6,1
Jon-Michael,3,0
Lana,538,61
Ebby,0,0
Harold,5,0
Huyen,913,47
Jess,54,10
Justin,38,5
Traci,65,19
Larissa,322,43
Dervla,2,0
Jennifer,118,17
Kaitlin,42,15
Patrick,3,0
Sarah,2,0
Katie,13,0
Garrett,0,1
Raven,16,1
Maria,118,32
Jon,0,0
Sarah,129,10
Jeff,2,0
Amanda,9,1
Eric,0,0
Jessica,60,10
Maria,15,3
Merlyn,1,0
Ashley,0,0
Brandon,6,0
Marla,135,6
Jordan,1,0
Anthony,23,3
Justice,18,2
Kris,9,2
Mia,658,45
Lisa,27,3
Caitlin,9,0
Gregg,0,0
Carlos,22,3
Tiffanie,78,3
Jin,217,11
Lee,2,0
Mightymidget,3,0
Scott,1502,67
Alana,318,24
Mimi,777,48
Lisa,1219,63
Nikki,2308,186
Max,304,13
Jim,62,5
Nik,425,50
Viviana,5,0
Rose,29,0
Lucky,94,15
Laurie,1162,36
Tiffany,4,0
Bryan,36,3
John,4,0
Geng,16,0
Cupcake,19,0
August,53,8
Andrea,10,1
Leigha,21,6
Janmichael,26,4
Tamra,0,0
GeeGie,9,0
K.,50,5
Elizabeth,2,0
Caity,22,2
Hatti,5,2
Foody,1,0
Molly,55,13
Chantel,3,0
Addison,2,0
Scott,98,2
Kat,36,5
Addie,71,7
Jade,0,0
Andy,8,0
Melissa,0,0
Anthony,0,3
Drea,175,12
Thomas,166,16
Greg,1,0
Christine,14,0
Dee,0,0
Susan,1,0
Brandi,10,0
Joe,14,1
Joanna,4,0
Poorish,79,5
Julie,10,0
Amanda,16,6
Nicole,46,7
Joel,0,0
Robert,11,2
Patrick,1,1
Megan,9,3
Ari,2,0
Cassandra,5,1
Brandon,0,0
Steve,7,0
food,1,0
Burke,10,0
PHX,3,0
David,6,0
Gregorio,32,0
Khoi Nguyen,0,0
Char,526,36
Ali,20,0
Takuya,175,14
Julie,35,6
Crystal,60,5
Angela,45,3
Tony,2,0
Keran,33,22
Tony,4,0
Laura,4,1
Lauren,48,3
Len,1,0
Ziyu,71,6
Steve,3,1
M,7,0
Marylou,11,1
Stephen,6,2
James,9,0
Renee,14,1
Christina,69,5
Debbie,15,1
Marvin,662,26
Angel,1,0
Joel,921,52
Jenn,69,5
T,37,0
Leslie,18,4
Geoff,18,4
Whitney,19,0
Marty,32,3
K,50,0
Darlene,186,14
Patty,1,0
Charles,107,13
Bao,2714,155
Scott,5,0
Melissa,95,15
R,0,0
Mark,24,1
Sam,61,13
Robert,144,9
nate,4,0
Jane,95,9
Ken,22,2
Kenneth,47,12
Carolyn,73,17
Ryan,1103,58
Brad,4,0
Stephan,5,1
Andrew,46,3
BARRY,3,0
Joe,11,0
HoyMay,20,1
Dave,328,21
Yvonne,717,25
Robert,1,0
L,15,0
Monique,3,0
Bob,13,4
Phyllis,69,11
Carrie,5,1
Megan,11,2
Latonia,1,0
Sarah Marie,35,1
Lara,2,0
Angel,0,0
H,96,0
GrayArea,11,1
Barnabas,233,31
Amy,1,0
Pepper,1750,86
Kurdy,1594,88
Kristin,130,4
Lana,1,0
Chris,166,30
Tanya,226,24
David,71,2
Julie,34,4
Kylie,25,9
Philip,16,0
Helen,190,31
NICOLAE,2,0
Linda,14,0
Bethany,1,0
Nadia,638,42
J.,37,1
Dave,0,0
Mark,1971,100
Mike,3,0
ray,3,2
Kevin,2,2
Caleb,9,0
Lauri,0,0
William,5,0
Stacie,1,0
Joyce,168,31
G,17,0
Amanda,7,1
R,14,0
Bilal,5,0
Bill,0,0
Katie,0,1
Candice,1,0
Stirling,24,1
James,54,5
Jen,63,5
Kate,2,0
Ryan,4,1
P,5,0
Chino,25,0
Greg,14,6
Steve,118,2
Doug,4897,220
Steven,49,6
Karen,48,12
Kalia,8,2
Reba,0,0
Adam,0,0
Sarah,1,0
Laura,0,0
Becca,2,5
Jenny,4,1
Aletheia,267,25
Ian,6,0
Allison,6,1
Su-shien,527,48
Doc,2,0
Ed,27,0
Francesca,21,2
Bart,1,0
Lynn,2,0
David,4,0
Frank,11,0
Dana,51,5
Yuko,11518,240
Yvonne,3,0
Michelle,2,0
Todd,0,0
Lee,28,5
Andrea,26,1
Rosie,3,0
Sasa,1,0
Patricia,1,0
Matei,3,0
Yi,17,2
Rick,0,0
Casey,44,2
Mark,2,0
Lisa,1,1
Rachel,0,0
Vanessa,18,0
Dominique,1,0
Jennifer,19,0
James,14,1
Bret,1,0
John,410,57
Gail,29,1
Issa,0,1
Skyler,11,1
